ID,news,headline,method,answer
TRAIN_11,"(Nov 6, 2008 1:50 AM) The CEOs of Detroit's troubled Big Three automakers and the head of the UAW are set to meet today with House Speaker Nancy Pelosi to ask for another $25 billion in government loans, the Detroit Free Press reports. Detroit had its worst sales month in 25 years in October, and insiders say General Motors' financial results, due out tomorrow, will be so bleak that the government will have to step in if the company is to survive. The new set of loans, unlike the $25 billion in retooling aid already approved, would be used to cover general business costs for the cash-strapped automakers. Barack Obama has promised to hold talks with automakers soon after taking office, and industry leaders warn he will need to move fast to prevent Detroit's woes from deepening the downturn. The collapse of the auto industry at this time would be devastating for a new president, warned a Chrysler representative.",Auto Bosses to Press Pelosi for Another $____B,Copy(25),25
TRAIN_12,"(Jul 13, 2008 4:32 PM CDT) Next year's 007's may look more like Charlie's Angels than James Bond, as MI6 seeks to recruit more women and minority agents, the AP reports. The drive, which has netted 20,000 rÃ©sumÃ©s over the past 12 months, welcomes Asian and Middle Eastern language speakers, the disabled, and womenâ€”and guarantees that female agents won't be used as honey pots. The need for Arabs and Asians is clear: MI6 is monitoring 200 potential terrorist plots and more than 21,000 suspects. But the drive will also satisfy an upcoming employment equity law that urges organizations to hire minorities. We need less sexism and a symbol who doesn't always hold a martini glass, said one female MP.",From Britain With Love: MI____ Seeks Minorities,Copy(6),6
TRAIN_13,"(Oct 15, 2010 7:10 AM CDT) The federal budget deficit is set to break a trillion dollars for the second year in a row, the Obama administration is set to report today. Officials foresee a deficit of $1.29 trillion for the 2010 budget year that ended Sept. 30, the AP reports, down from last yearâ€™s $1.4 trillion. Next yearâ€™s could soar back to that record high, the administration projects.",Deficit Breaks $____T Again,"Round(1.29,0)",1
TRAIN_14,"(Dec 14, 2011 4:47 PM) Comedian Louis CK has scored nice profits by taping, producing, and distributing his stand-up special by himself and without the help of a network or studio. In what he calls an experiment to cut out the middlemen and keep prices low, CK hired a camera team to tape two of his stand-up performances at the Beacon Theater in Manhattan. He then began selling the video for $5 a pop on a newly built website, and after merely four days had racked up 110,000 downloads and $200,000 in profits, reports Mashable. The $200,000 is less than what a major company would have paid him in an upfront fee, writes CK, but by distributing the project directly to his fans, he was able to charge $5, while a studio would have charged $20, encrypted the file, and gathered personal info from customers. I got paid nice, and I still own the video (as do you), he writes. You never have to join anything, and you never have to hear from us again.",Louis CK Makes $200K in ____ Days on Web Video,Copy(4),4
TRAIN_15,"(Sep 5, 2014 6:32 AM CDT) A doctor who became infected with Ebola while working in Liberiaâ€”the third American aid worker sickened with the virusâ€”landed this morning at an Air Force base in Nebraska, Fox News reports, and is expected to arrive at a Nebraska hospital for treatment later today. Officials at the Nebraska Medical Center in Omaha have said Dr. Rick Sacra, 51, will begin treatment in the hospital's 10-bed special isolation unit, the largest of four such units in the US. Sacra, who's from the Boston area, opted to head to Liberia after hearing that two other missionaries were sick. He served with the North Carolina-based charity SIM. Sacra wasn't involved in the treatment of Ebola patients but delivered babies, so it's unclear how he got infected with the virus that has killed about 1,900 people. Dr. Phil Smith, medical director of the Omaha unit, said the medical team there is discussing experimental treatments, including using blood serum from a patient who has recovered from Ebola. Smith and several other doctors with the unit repeatedly said Sacra's transfer to Omaha posed no threat to the public, noting Ebola is transmitted through close contact with an infected person.",____rd American With Ebola Lands in US,Trans(third),3
TRAIN_16,"(Nov 19, 2008 2:50 PM) A sour economy and tumbling oil prices might sink Sarah Palinâ€™s oft-touted Alaskan natural-gas pipeline, the Wall Street Journal reports. Low prices and increased natural-gas production in the lower 48 are causing energy companies to reconsider the $30 billion project. Without the revenue-generating pipeline, Alaskans who depend on the stateâ€™s dividend checks might soon actually be paying taxes themselves. The state-sponsored pipeline was to funnel gas from large energy concerns in the north of Alaska, but so far no one has signed on. The Canadian developer needs guarantees from customers before it starts construction, but a state senator was pessimistic about the chances: It is going to be economics that drive this process and not how much we want it to happen.",Economy May Tank Palin's $____B Pipeline,Copy(30),30
TRAIN_17,"(Apr 7, 2009 2:30 PM CDT) Ian Tomlinson, who died during last weekâ€™s G20 protests in London, was clubbed and pushed to the ground by police minutes before he suffered a fatal heart attack, the Guardian reports. The paper has obtained video, which shows Tomlinson walking away from riot cops with dogs before he was attacked from behind. Tomlinson, who was on his way home from work, was earlier battered by police batons, witnesses say.",G____ Cops Caught on Tape Shoving Protester Who Died,Copy(20),20
TRAIN_18,"(May 11, 2009 11:06 AM CDT) A US soldier has been charged today with killing five in a shooting at the stress clinic at an American base in Baghdad today, the AP now reports; earlier bulletins said the shooter died of self-inflicted wounds. A US officer said the clinic is for soldiers seeking relief from combat stress, but couldnâ€™t confirm if the dead were other soldiers or clinic workers. The shooter is a US soldier and he is in custody, a Marine spokesman told the Times of London. The toll was the highest for US personnel in a single attack since April 10, when a suicide truck driver killed five American soldiers with a blast near a police headquarters in the northern city of Mosul.",US Soldier Held After Killing ____ at Baghdad Base,Trans(five),5
TRAIN_19,"(Jul 12, 2015 10:38 PM CDT) It's Game Over far too soon for Nintendo President Satoru Iwata. The 55-year-old has died due to a bile duct growth, the company announced in a brief statement. Iwata, who started out as a programmer at Nintendo subsidiary HAL Laboratory in the '80s and worked on games like The Legend of Zelda, became company president in 2002. He had been having health problems for some time but was able to resume his duties last year after bile duct surgery, reports the BBC, which describes him as a highly revered figure on the gaming scene who was able to turn the company around with big successes like the Wii. The last few years weren't smooth sailing for the companyâ€”Iwata volunteered for a pay cut after poor sales last yearâ€”but profits are rising again as the company moves into the smartphone market, Bloomberg reports. In the industry and among gamers, Iwata was known as someone who thought gaming should be for everybody, and as someone who never lost sight of the fact that gaming should be fun. Iwata always struck me as someone who genuinely cared about the joy of gaming more than anything else, writes German Lopez at Vox. Rest in peace, Mr. Iwata, and thank you for all the joy you brought to my life.",Nintendo Chief Dies at ____,Copy(55),55
TRAIN_20,"(Dec 31, 2008 4:27 AM) In a distant echo of the Cold War, a federal judge has ordered north Korea to pay $65 million in damages to four crewmen from a US ship captured in 1968, reports AP. The USS Pueblo was seized by North Korea on an intelligence-gathering mission, and crew members were severely beaten during 11 months of captivity. One of 83 crew members died, and the rest resisted their captors, flashing their middle fingers in a famous photo released by oblivious North Korean officials. The ship still remains in North Korean hands. William Massie, Donald McClarren and Dunnie Tuck were each awarded $16.7 million. The estate of Lloyd Bucher was awarded $14.3 million, and his widow $1.25 million. The torture involved severe physical beatings with karate blows, broom handles, belt buckles, boards and chairs, along with punches with rifle butts and whatever else that was handy. In 1996 Congress lifted immunity for countries designated by the State Department as sponsors of terrorism.",USS Pueblo Crew Awarded $____M,Copy(65),65
TRAIN_21,"(Jul 29, 2008 5:20 PM CDT) Seattle has staked out its spot atop the greener-than-thou pecking order by approving a 20-cent-per-bag fee that applies to both paper and plastic, the Seattle Post-Intelligencer reports. The move is expected to cut disposable-bag use in half. The best way to reduce waste is not to create it, and today, we have made that a little easier in Seattle, said the mayor. I think after a few months of legislation, we will wonder what all the fuss was about, a city council member told the Seattle Times. Same as when we moved to mandatory recycling. The measure, which applies to grocery, drug, and convenience stores, goes into effect on Jan. 1, the same day Seattle bans Styrofoam takeout containers.",Seattle Slaps ____Â¢ Fee on All Grocery Bags,Copy(20),20
TRAIN_22,"(Mar 2, 2010 3:20 PM) Stocks fell from their daily highs but managed to preserve token gains as American Express said overall credit quality was improving and the Dow Jones-UBS Commodity Index rose 1.1%, the Wall Street Journal reports.",Dow Edges Up ____ Points,Copy(2),2
TRAIN_23,"(Nov 6, 2013 8:41 AM) Of 11 Colorado counties voting on the question, sixâ€”Cheyenne, Kit Carson, Phillips, Sedgwick, Washington, and Yumaâ€”voted yes to consider becoming the 51st state. The ballot measure asked whether county commissioners should pursue becoming the 51st state of the United States of America. The most populous county addressing the issue turned the idea down, 58% to 42%, in what ABC 7 calls a sharp rebuke of commissioners at the forefront of the effort. Weld County voters said this is an option we shouldn't pursue, and we won't pursue it, said one. But we will continue to look at the problems of the urban and rural divide in this state. The issue centers on that divide, the Denver Post notes, with new lawsâ€”including tougher gun and renewable energy measuresâ€”frustrating some in the 51st state movement. The heart of the 51st State Initiative is simple: We just want to be left alone to live our lives without heavy-handed restrictions from the state Capitol, says backer Jeff Hare. But it's a long shot, requiring state and US congressional approval. Still, Hare says the movement has left a mark: Next year, people running for office ... must have good information about the urban vs. rural divide.",Secession Gets Green Light in ____ Colorado Counties,Copy(6),6
TRAIN_24,"(Oct 7, 2015 5:50 PM CDT) Rapper 50 Cent, who filed for bankruptcy over the summer and revealed his lifestyle is not actually as blingy as it seems, is now suing his former lawyers. The rapper, real name Curtis Jackson, says the Wall Street firm Garvey Schubert Barer didn't represent him well in a legal battle over a headphone marketing deal, Business Insider reports. He wants $75 million in damages. Jackson started working with Sleek Audio in 2010 to create a brand of headphones, similar to what Dr. Dre did with Beats, but Sleek never actually marketed the headphones and Jackson ended up starting his own company to launch them. Jackson says his lawyers advised him that was fineâ€”but Sleek ended up getting awarded more than $11 million, plus nearly $5 million in attorney fees, after the company claimed Jackson infringed on intellectual property rights. Mr. Jackson's complaint against GSB omits a number of relevant facts and misstates a number of others, and we will respond to the allegations in accordance with the court's rules, GSB says in a statement. Our attorneys properly counseled Mr. Jackson and his sophisticated team of financial and operational advisors about the transactions and the arbitrations with Sleek. Unfortunately, the arbitrator in the Sleek case found Mr. Jackson responsible for his actions and the actions of those who performed services for him or his companies. We look forward to demonstrating that our attorneys handled the Sleek matters appropriately in all aspects.",Bankrupt ____ Cent Now Suing His Ex-Lawyers,Copy(50),50
TRAIN_25,"(Mar 28, 2011 2:04 PM CDT) With more money pouring into tech funds and some huge valuations for IT companies, there are more and more signs that we're in another tech bubble. But there are also some big differences, notes the New York Times, which compares the tech boom of 1999 with that of 2010. For instance, many more people use the Internet now, around 2 billion, compared to less than 250 million 11 years before. And there isn't such an onslaught of tech IPOs: 308 in 1999, about half of all the IPOs in America that year, compared to just 20 last year. Most importantly, this new crop of tech start-ups has actual business models this time around. Groupon has been profitable since 2009 and Facebook's revenues continue to grow. In those days, you had tiny, little companies going public that hardly had a business plan, said a finance professor at Stanford University. And now youâ€™re talking about only a few companiesâ€”companies that are already global and with revenue. And with a group so select, things won't go as badly if the bubble bursts, say some investors.","When It Comes to Tech Bubbles, 2011 Is Not ____","Subtract(2011,11)",2000
TRAIN_26,"(Nov 25, 2008 3:16 PM) Stocks were mixed today, as enthusiasm over the Fedâ€™s plan to get banks lending was tempered by a downward revision to third-quarter GDP and a drop in a home-price index, the Wall Street Journal reports. The Dow rose 36.47â€”its third consecutive up sessionâ€”to 8,479.86. The Nasdaq fell 7.29 to settle at 1,464.73, while the S&P 500 rose 5.60, closing at 85741. The recent sessions have seen a 12% Dow gain, the biggest since the rally after the 1987 crash, so anything short of a complete sell-off comes as positive news for equities. Said one analyst, it will be a pretty good sign if we can get that sort of trauma behind us. Financials clung to gains even as other sectors dropped, with JP Morgan Chase leading with an 8.6% surge.",Slim Gain Is Dow's ____rd in Row,Copy(3),3
TRAIN_27,"(Oct 5, 2015 5:04 AM CDT) Chicago cops have arrested two alleged drug dealers who may be linked to a huge spike in heroin overdoses that nearly left the city littered with corpses. Alfonzo Sylvester, 24, and Mario Wofford, 26, both alleged members of the Unknown Lords gang, have been charged with possession of heroin with intent to deliver, the Chicago Tribune reports. Sylvester, who escaped police in a car chase only to be arrested the next day, has also been charged with aggravated fleeing, the Tribune reports. Police believe a batch or batches of heroin laced with the painkiller fentanyl was the cause of at least 74 overdoses in a 72-hour period last week. Paramedics had to double or triple the dose of overdose antidote Narcan to save some of the overdose victims. Former Chicago Police Supt. Phil Cline tells the Chicago Sun-Times that the rash of overdoses reminds him of 2006, when fentanyl-laced heroin killed dozens of peopleâ€”but still had some addicts seeking out a powerful high. Whatever it is that's going around, you just hope they can find out whose putting this stuff out there and put a stop to it or else thereâ€™s going to be a lot of deaths, Cline says. The addicts think they can handle it but they can't. Officials haven't released a figure for overdoses from the weekend, the Sun-Times reports, but they say the rate of hospital admissions has slowed down.","After ____ People Overdose, Chicago Cops Arrest 2",Copy(74),74
TRAIN_28,"(Sep 10, 2012 2:40 PM CDT) For the first time in more than 60 years, the people of Burma are able to kick back with a Coke. Now that US sanctions against Burma are over, Coca-Cola has teamed with a local manufacturing firm to ship Coke, Coke Light, and Sprite all over the country. It's also planning to start production and bottling in Burma as soon as it can. The news comes after PepsiCo announced plans to sell its own drinks in the country. Burmese President Thein Sein says Coca-Cola is reportedly investing $100 million in Burmaâ€”which translates into 2,000 jobs. It has also donated $3 million to help support women's rights and jobs in the country, Reuters reports.",Coke Back in Burma After ____ Years,Copy(60),60
TRAIN_29,"(Aug 2, 2016 12:27 PM CDT) A 5,000-year-old rock carving of a figure on skis is among the most recognized symbols of Norway. Two kids, however, thought it could use some improving. In what's been described as a national tragedy, the Norwegian boys are accused of using a sharp tool to retrace the image on the island of Troâ€”among the earliest evidence of skiingâ€”to make it more obvious, per the Local and New York Daily News. The boys came forward and apologized after the vandalism was reported Friday, but could still face criminal charges, reports the Washington Post. The new lines are both in and outside where the old marks had been, an archaeologist tells the Telegraph. We will never again be able to experience these carvings again the way we have for the last 5,000 years. It's a tragedy, because it's one of the most famous Norwegian historical sites and one of the most internationally known symbols of Norway, adds a local mayor. The image of the skierâ€”which inspired the logo for the 1994 Lilliehammer Olympicsâ€”wasn't even the only one damaged. An image of a whale that's part of the same scene also was hit. However, it was done out of good intentions, the mayor says. They were trying to make it more visible actually, and I don't think they understood how serious it was. I think now they understand. The boys issued a public apology, but many on social media say they should still be punished. (Someone left their initials in this 1,000-year-old rock art.)","Boys Had Good Intentions, Ruin ____K-Year-Old Rock Art","Paraphrase(5,000,K)",5
TRAIN_30,"(Mar 11, 2011 5:02 PM) A college student made $900 by selling her first-in-line spot in front of the Apple Store in midtown New York before the iPad 2 launch. Amanda Foote arrived at the store at 5pm Wednesday and sold the spot this morning to a guy who wanted the iPad with him for a business trip, reports Mashable. The new device went on sale at 5pm today. Footeâ€”who earned the equivalent of about $22 an hourâ€”never intended to buy an iPad. She's using the money for Lady Gaga tickets.",Woman Sells First Spot in iPad ____ Line for $900,Copy(2),2
TRAIN_31,"(May 2, 2008 6:35 PM CDT) Severe storms spawned twisters in America's heartland today, knocking out power, toppling tractor-trailers, and killing seven people in Arkansas, the AP reports. Up to 25 tornadoes also hit Missouri, Kansas, and Oklahoma, a state where hail smashed windshields and storms derailed railway cars. It just seems like weâ€™re getting pounded, one official said. Tornadoes hit homes in several Arkansas regions, one toppling a tree that crushed a sleeping teen on top of her brother, who emerged alive, the Arkansas Democrat Gazette reports. Officials reported property damage in Kansas City, Mo., and Derby fans in neighboring Kentucky fear delays as the system may linger for tomorrowâ€™s race.",Heartland Tornadoes Kill ____ in Arkansas,Trans(seven),7
TRAIN_32,"(May 3, 2009 11:33 AM CDT) Today may be his 90th birthday, but the only reason folk legend Pete Seeger will share the stage with Bruce Springsteen and Arlo Guthrie at his tribute concert will be to raise money for the environmentâ€”continuing his penchant for infusing music with social activism. I agreed to the concert, although I donâ€™t like big things, Seeger tells the AP. Itâ€™s never been about Pete, said Emmylou Harris, whoâ€™ll also perform tonight and wrote Seeger before she ever released a song. It's always been about the world and what he believes in. Seeger, who was blacklisted in the 1950s, says he has just one wish: For the rest of my life, I hope to sing only for the children.","At ____, Seeger Still Tuned to Social Activism",Copy(90),90
TRAIN_33,"(Jan 21, 2009 12:35 PM) General Motorsâ€™ 77-year reign as the worldâ€™s top-selling automaker ended in 2008, the Detroit Free Press reports, overtaken at last by Toyota. The troubled US giant announced today its sales dropped 11% for the year, to 8.35 million vehicles; Toyota, despite a 4% dip, sold 8.97 million vehicles. Share doesnâ€™t always pay the bills, a Toyota exec told Reuters in downplaying the news. Honestly this is not a measure that I pay a lot of attention to, said GMâ€™s president. They passed us in terms of market cap, profitability, cash flow long ago. January looks like itâ€™ll be another bad month for the US auto market, one analyst said, but he expects the stimulus to lift demand in the second half of the year.","After ____ Years, GM Cedes Sales Crown to Toyota",Copy(77),77
TRAIN_34,"(Feb 6, 2008 7:13 PM) With Feb. 5 gone and the Democratic race still undecided, Hillary Clinton and Barack Obama are looking to Tuesday's so-called Potomac Primary, then another big day March 4. Three states vote Saturday, but Tuesday offers bigger prizes in DC, Maryland, and Virginia. Obama is the odds-on favorite in heavily black DC and in Maryland, the AP reports. Virginia is more of a toss-up demographically, but Obama has the backing of rising-star governor Tim Kaine. Neither candidate will likely KO the other next week, the New York Times adds, though momentum will be huge. The Dems will then look to March 4 as the potential closing round, with 534 delegates at stake in Texas, Ohio, Rhode Island, and Vermont.","After Potomac Primary, March ____ Looms Large",Copy(4),4
TRAIN_35,"(Jan 7, 2015 2:03 AM) John Wines retired recently, so he was thrilled when a scratch-off lottery ticket showed he had won $500,000â€”and more than a little disappointed when the New Mexico Lottery told him it was a misprint and refused to pay up. Scratching off a 1 on the $20 ticket means a $250,000 jackpot, but when the former air-conditioner repairman tried to claim $500,000 after getting two 1's, he was told a printing error had made a 12 and an 18 look like 1's, with only smudges remaining of the latter digits, KOB reports. Wines was offered $100 in lottery tickets instead. Lottery officials say the mix-up was caused by a clogged ink dispenser at the printer, which was supposed to pull all the tickets affected but missed the one Wines bought. I struggled all my life, but I never cheated anyone out of anything, the Roswell resident tells Fox. And when I was in business, if I made a mistake, I paid for it. They just act like, 'So what?' he says. I didn't misprint it. I bought the ticket in the good faith that if I won, they would pay me. He says the experience has been pretty stressful, but he doesn't plan to sue.",Man Told $____K Lottery Win Was a Misprint,"Paraphrase(500,000,K)",500
TRAIN_36,"(Feb 7, 2008 4:04 AM) After hauling in an epic $32 million in contributions in January, Barack Obama is expecting a near record-busting $30 million in donations this month. Even more striking, the candidate for change seems to raise most of his money in just thatâ€”change. Half of January's yield came in online contributions of $200 or less, many as little as $5 to $10, Politico reports. Obama has already raised $2.2 million in a 24-hour period yesterday. Clinton, by contrast, raised $14 million last month, mostly in donations of the $2,300 maximum, and yesterday loaned her campaign $5 million. Obamaâ€™s financial superiority is straining the Clinton campaign at this point, one analyst said.",Obama Expects to Rake in $____M This Month,Copy(30),30
TRAIN_37,"(Jun 21, 2013 12:31 PM CDT) The FAA is investigating an incident in which two planes came frighteningly close to one another in the air over New York City, NBC 4 reports. The June 13 incident occurred when a Delta 747 missed its approach at JFK airport and circled around againâ€”in the process running afoul of a Shuttle America regional jet that was just taking off from LaGuardia. The two planes were, at one point, only 200 feet apart, a federal official says. The two aircraft were turning away from each other at the point where they lost the required amount of separation, the FAA said in a statement. It's unclear why the Delta plane missed its landing in the first place.",____ Planes Barely Miss Each Other Over New York,Trans(two),2
TRAIN_38,"(Feb 15, 2011 8:05 AM) The 2012 presidential race is already heating up: A new poll shows that Mitt Romney is the frontrunner in New Hampshire, beating President Obama in a hypothetical race by 49% to 41%. Romney, not surprisingly, is also the leading Republican, coming out well ahead of other potential candidates. While a large majority of likely voters still haven't decided who they'll back, 40% said they'd vote for Romney. The second-place finisher, Rudy Giuliani, trailed at 10%, WMUR reports. It went down from there: Sarah Palin, for example, got 5% of the hypothetical vote, ahead of Donald Trump at 3%. But 78% of those potential voters said they haven't made a final decision, and only 7% claimed they had. Meanwhile, only 65% of likely Democratic voters said they'll vote to re-elect Obama, while 27% are undecided. But in the Boston Globe, Michael J Bailey notes that any poll this early in the election season ... is nothing more than political hardtack for old political salts to chew upon.",Election ____: Mitt Romney Beats President Barack Obama in New Hampshire Poll,Copy(2012),2012
TRAIN_39,"(Oct 18, 2008 7:05 PM CDT) Wall Streetâ€™s top banks are set to pay their financial workers more than $70 billion in salary and bonuses this yearâ€”a tenth of the $700 billion in taxpayer money committed to the bailoutâ€”despite the huge drops in share price and cash shortages they are experiencing, the Guardian reports. Morgan Stanley, for example, will dole out $10.7 billion, which at one point last week was more than the bankâ€™s market value. One bank source said that while the payouts would seem high to a normal person, the bonuses are all performance-based. But critics say firms with shaky capital positions shouldnâ€™t dump billions into bonus pools. The CEO and top traders at Germanyâ€™s Deutsche Bank, for example, are waving millions in payouts. It may well be that by the end of the year the banks start to review the situation, said one source.",Bankers to Reap $____B Despite Crash,Copy(70),70
